"","pos","last.week","peak","weeks.on.chart","title","artist","chart.entry.date","entry.position","overall.peak","overall.weeks.on.chart","chart.date","concurrent.count","artist.relevancy"
"1",1,"1",1,15,"Uptown Funk!","MARK RONSON featuring BRUNO MARS",41972,65,1,15,20150307,0,1
"2",2,"2",2,20,"Thinking Out Loud","ED SHEERAN",41937,69,2,20,20150307,0,11
"3",3,"6",3,7,"Love Me Like You Do","ELLIE GOULDING",42028,45,3,7,20150307,0,8
"4",4,"5",4,6,"Sugar","MAROON 5",42035,8,4,6,20150307,0,15
"5",5,"3",2,28,"Take Me To Church","HOZIER",41881,96,2,28,20150307,0,1
"6",6,"4",4,5,"FourFiveSeconds","RIHANNA & KANYE WEST & PAUL McCARTNEY",42042,54,4,5,20150307,0,1
"7",7,"7",1,17,"Blank Space","TAYLOR SWIFT",41958,18,1,17,20150307,0,49
"8",8,"10",8,9,"Style","TAYLOR SWIFT",42014,84,8,9,20150307,0,49
"9",9,"12",9,9,"Earned It (Fifty Shades Of Grey)","THE WEEKND",42014,49,9,9,20150307,0,6
"10",10,"9",4,18,"Lips Are Movin'","MEGHAN TRAINOR",41951,93,4,18,20150307,0,4
"11",11,"13",11,10,"Time Of Our Lives","PITBULL & NE-YO",42007,87,11,10,20150307,0,1
"12",12,"8",5,24,"I'm Not The Only One","SAM SMITH",41909,93,5,24,20150307,0,7
"13",13,"14",13,14,"I Don't Mind","USHER featuring JUICY J",41979,95,13,14,20150307,0,1
"14",14,"16",10,24,"Centuries","FALL OUT BOY",41909,22,10,24,20150307,0,7
"15",15,"15",1,27,"Shake It Off","TAYLOR SWIFT",41888,1,1,27,20150307,0,49
"16",16,"19",12,17,"Only","NICKI MINAJ featuring DRAKE, LIL WAYNE & CHRIS BROWN",41958,54,12,17,20150307,0,1
"17",17,"22",17,5,"Truffle Butter","NICKI MINAJ featuring DRAKE & LIL WAYNE",42042,71,17,5,20150307,0,1
"18",18,"18",7,24,"Jealous","NICK JONAS",41909,78,7,24,20150307,0,4
"19",19,"17",1,33,"All About That Bass","MEGHAN TRAINOR",41846,84,1,33,20150307,0,4
"20",20,"11",2,45,"Stay With Me","SAM SMITH",41762,93,2,45,20150307,0,7
"21",21,"25",21,17,"Ghost","ELLA HENDERSON",41958,75,21,17,20150307,0,1
"22",22,"24",22,13,"She Knows","NE-YO featuring JUICY J",41986,96,22,13,20150307,0,1
"23",23,"29",23,12,"Prayer In C","LILLYWOOD & ROBIN SCHULZ",41993,87,23,12,20150307,0,1
"24",24,"21",11,22,"I Don't Fuck With You","BIG SEAN featuring E-40",41923,70,11,22,20150307,0,1
"25",25,"23",13,13,"7/11","BEYONCE",41986,18,13,13,20150307,0,20
"26",26,"49",26,2,"Energy","DRAKE",42063,49,26,2,20150307,0,82
"27",27,"37",27,5,"Somebody","NATALIE LA ROSE featuring JEREMIH",42042,94,27,5,20150307,0,1
"28",28,"54",28,14,"I Bet My Life","IMAGINE DRAGONS",41979,72,28,14,20150307,0,7
"29",29,"28",28,12,"G.D.F.R.","FLO RIDA featuring SAGE THE GEMINI & LOOKAS",41993,97,28,12,20150307,0,1
"30",30,"20",8,42,"Chandelier","SIA",41783,75,8,42,20150307,0,20
"31",31,"32",30,35,"Riptide","VANCE JOY",41832,92,30,35,20150307,0,1
"32",32,"33",32,7,"Ayo","CHRIS BROWN & TYGA",42028,40,32,7,20150307,0,1
"33",33,"27",7,20,"Love Me Harder","ARIANA GRANDE & THE WEEKND",41937,79,7,20,20150307,0,1
"34",34,"80",34,2,"One Last Time","ARIANA GRANDE",42063,80,34,2,20150307,0,13
"35",35,"41",35,5,"Trap Queen","FETTY WAP",42042,86,35,5,20150307,0,1
"36",36,"26",20,14,"CoCo","O.T. GENASIS",41979,77,20,14,20150307,0,1
"37",37,"31",3,27,"Animals","MAROON 5",41888,86,3,27,20150307,0,15
"38",38,"30",16,22,"No Type","RAE SREMMURD",41923,77,16,22,20150307,0,3
"39",39,"36",36,8,"Take Your Time","SAM HUNT",42021,93,36,8,20150307,0,2
"40",40,"39",3,30,"Bang Bang","JESSIE J, ARIANA GRANDE & NICKI MINAJ",41867,6,3,30,20150307,0,1
"41",41,"35",17,7,"Elastic Heart","SIA",42028,17,17,7,20150307,0,20
"42",42,"56",42,4,"Chains","NICK JONAS",42049,92,42,4,20150307,0,4
"43",43,"42",42,8,"Outside","CALVIN HARRIS featuring ELLIE GOULDING",42021,90,42,8,20150307,0,2
"44",44,"34",6,16,"The Heart Wants What It Wants","SELENA GOMEZ",41965,25,6,16,20150307,0,9
"45",45,"43",43,15,"Make Me Wanna","THOMAS RHETT",41972,99,43,15,20150307,0,5
"46",46,"44",34,6,"Heartbeat Song","KELLY CLARKSON",42035,37,34,6,20150307,0,13
"47",47,"51",47,12,"Lonely Tonight","BLAKE SHELTON featuring ASHLEY MONROE",41993,95,47,12,20150307,0,1
"48",48,"57",48,13,"Shut Up And Dance","WALK THE MOON",41986,88,48,13,20150307,0,2
"49",49,"40",12,22,"Tuesday","I LOVE MAKONNEN featuring DRAKE",41923,90,12,22,20150307,0,1
"50",50,"47",3,39,"Habits (Stay High)","TOVE LO",41804,66,3,39,20150307,0,3
"51",51,"101",51,1,"Wonderland","TAYLOR SWIFT",42070,51,51,1,20150307,0,49
"52",52,"86",52,2,"Legend","DRAKE",42063,86,52,2,20150307,0,82
"53",53,"46",41,13,"I See You","LUKE BRYAN",41986,89,41,13,20150307,0,16
"54",54,"82",54,7,"Post To Be","OMARION featuring CHRIS BROWN & JHENE AIKO",42028,98,54,7,20150307,0,1
"55",55,"50",31,14,"Night Changes","ONE DIRECTION",41979,55,31,14,20150307,0,19
"56",56,"48",44,17,"Sun Daze","FLORIDA GEORGIA LINE",41958,95,44,17,20150307,0,11
"57",57,"63",57,16,"Mean To Me","BRETT ELDREDGE",41965,95,57,16,20150307,0,3
"58",58,"88",58,2,"10 Bands","DRAKE",42063,88,58,2,20150307,0,82
"59",59,"67",59,8,"Ain't Worth The Whiskey","COLE SWINDELL",42021,99,59,8,20150307,0,3
"60",60,"64",59,12,"Just Gettin' Started","JASON ALDEAN",41993,94,59,12,20150307,0,18
"61",61,"59",58,10,"Apparently","J. COLE",42007,90,58,10,20150307,0,10
"62",62,"60",43,10,"Feeling Myself","NICKI MINAJ featuring BEYONCE",42007,43,43,10,20150307,0,1
"63",63,"55",32,13,"I Lived","ONEREPUBLIC",41986,71,32,13,20150307,0,8
"64",64,"66",62,12,"Like A Cowboy","RANDY HOUSER",41993,98,62,12,20150307,0,4
"65",65,"70",65,4,"Talking Body","TOVE LO",42049,95,65,4,20150307,0,3
"66",66,"69",48,6,"Homegrown","ZAC BROWN BAND",42035,48,48,6,20150307,0,12
"67",67,"65",60,19,"Drinking Class","LEE BRICE",41944,99,60,19,20150307,0,7
"68",68,"53",53,3,"Blessings","BIG SEAN featuring DRAKE",42056,54,53,3,20150307,0,1
"69",69,"61",59,19,"Often","THE WEEKND",41944,97,59,19,20150307,0,6
"70",70,"101",70,1,"Know Yourself","DRAKE",42070,70,70,1,20150307,0,82
"71",71,"71",70,10,"Lonely Eyes","CHRIS YOUNG",42007,95,70,10,20150307,0,10
"72",72,"58",58,3,"Lay Me Down","SAM SMITH",42056,75,58,3,20150307,0,7
"73",73,"77",73,11,"Homegrown Honey","DARIUS RUCKER",42000,97,73,11,20150307,0,7
"74",74,"45",45,4,"Only One","KANYE WEST featuring PAUL McCARTNEY",42049,68,45,4,20150307,0,1
"75",75,"52",43,9,"Stuck On A Feeling","PRINCE ROYCE featuring SNOOP DOGG",42014,93,43,9,20150307,0,1
"76",76,"74",74,8,"Geronimo","SHEPPARD",42021,96,74,8,20150307,0,1
"77",77,"73",12,13,"The Hanging Tree","JAMES NEWTON HOWARD featuring JENNIFER LAWRENCE",41986,12,12,13,20150307,0,1
"78",78,"75",67,8,"Throw Sum Mo","RAE SREMMURD featuring NICKI MINAJ & YOUNG THUG",42021,92,67,8,20150307,0,1
"79",79,"81",79,6,"Say You Do","DIERKS BENTLEY",42035,96,79,6,20150307,0,8
"80",80,"68",43,18,"Talladega","ERIC CHURCH",41951,90,43,18,20150307,0,13
"81",81,"101",81,1,"No Tellin'","DRAKE",42070,81,81,1,20150307,0,82
"82",82,"85",82,2,"Preach","DRAKE featuring PARTYNEXTDOOR",42063,85,82,2,20150307,0,1
"83",83,"101",83,1,"6 God","DRAKE",42070,83,83,1,20150307,0,82
"84",84,"91",84,2,"Used To","DRAKE featuring LIL WAYNE",42063,91,84,2,20150307,0,5
"85",85,"83",82,8,"Take It On Back","CHASE BRYANT",42021,98,82,8,20150307,0,1
"86",86,"87",86,8,"A Guy Walks Into A Bar","TYLER FARR",42021,97,86,8,20150307,0,3
"87",87,"72",40,13,"Sledgehammer","FIFTH HARMONY",41986,93,40,13,20150307,0,4
"88",88,"100",88,2,"What Kind Of Man","FLORENCE + THE MACHINE",42063,100,88,2,20150307,0,0
"89",89,"98",89,2,"Shots","IMAGINE DRAGONS",42063,98,89,2,20150307,0,7
"90",90,"78",45,18,"Try Me","DEJ LOAF",41951,67,45,18,20150307,0,1
"91",91,"89",87,6,"The Body","WALE featuring JEREMIH",42035,98,87,6,20150307,0,2
"92",92,"94",89,8,"What We Ain't Got","JAKE OWEN",42021,95,89,8,20150307,0,8
"93",93,"76",76,2,"Little Red Wagon","MIRANDA LAMBERT",42063,76,76,2,20150307,0,13
"94",94,"92",81,4,"Budapest","GEORGE EZRA",42049,81,81,4,20150307,0,1
"95",95,"101",95,1,"Now & Forever","DRAKE",42070,95,95,1,20150307,0,82
"96",96,"101",96,1,"Slow Motion","TREY SONGZ",42070,96,96,1,20150307,0,21
"97",97,"101",97,1,"6 Man","DRAKE",42070,97,97,1,20150307,0,82
"98",98,"90",80,7,"Not For Long","B.O.B featuring TREY SONGZ",42028,96,80,7,20150307,0,1
"99",99,"101",99,1,"Glory","COMMON & JOHN LEGEND",42070,99,99,1,20150307,0,1
"100",100,"101",100,1,"Go Hard Or Go Home","WIZ KHALIFA & IGGY AZALEA",42070,100,100,1,20150307,0,1
"101",1,"1",1,14,"Uptown Funk!","MARK RONSON featuring BRUNO MARS",41972,65,1,15,20150228,0,1
"102",2,"2",2,19,"Thinking Out Loud","ED SHEERAN",41937,69,2,20,20150228,0,11
"103",3,"3",2,27,"Take Me To Church","HOZIER",41881,96,2,28,20150228,0,1
"104",4,"6",4,4,"FourFiveSeconds","RIHANNA & KANYE WEST & PAUL McCARTNEY",42042,54,4,5,20150228,0,1
"105",5,"4",4,5,"Sugar","MAROON 5",42035,8,4,6,20150228,0,15
"106",6,"9",6,6,"Love Me Like You Do","ELLIE GOULDING",42028,45,3,7,20150228,0,8
"107",7,"5",1,16,"Blank Space","TAYLOR SWIFT",41958,18,1,17,20150228,0,49
"108",8,"8",5,23,"I'm Not The Only One","SAM SMITH",41909,93,5,24,20150228,0,7
"109",9,"7",4,17,"Lips Are Movin'","MEGHAN TRAINOR",41951,93,4,18,20150228,0,4
"110",10,"18",10,8,"Style","TAYLOR SWIFT",42014,84,8,9,20150228,0,49
"111",11,"14",2,44,"Stay With Me","SAM SMITH",41762,93,2,45,20150228,0,7
"112",12,"29",12,8,"Earned It (Fifty Shades Of Grey)","THE WEEKND",42014,49,9,9,20150228,0,6
"113",13,"11",11,9,"Time Of Our Lives","PITBULL & NE-YO",42007,87,11,10,20150228,0,1
"114",14,"13",13,13,"I Don't Mind","USHER featuring JUICY J",41979,95,13,14,20150228,0,1
"115",15,"10",1,26,"Shake It Off","TAYLOR SWIFT",41888,1,1,27,20150228,0,49
"116",16,"15",10,23,"Centuries","FALL OUT BOY",41909,22,10,24,20150228,0,7
"117",17,"16",1,32,"All About That Bass","MEGHAN TRAINOR",41846,84,1,33,20150228,0,4
"118",18,"12",7,23,"Jealous","NICK JONAS",41909,78,7,24,20150228,0,4
"119",19,"17",12,16,"Only","NICKI MINAJ featuring DRAKE, LIL WAYNE & CHRIS BROWN",41958,54,12,17,20150228,0,1
"120",20,"32",8,41,"Chandelier","SIA",41783,75,8,42,20150228,0,20
"121",21,"19",11,21,"I Don't Fuck With You","BIG SEAN featuring E-40",41923,70,11,22,20150228,0,1
"122",22,"26",22,4,"Truffle Butter","NICKI MINAJ featuring DRAKE & LIL WAYNE",42042,71,17,5,20150228,0,1
"123",23,"20",13,12,"42196","BEYONCE",41986,18,13,13,20150228,0,20
"124",24,"23",23,12,"She Knows","NE-YO featuring JUICY J",41986,96,22,13,20150228,0,1
"125",25,"25",22,16,"Ghost","ELLA HENDERSON",41958,75,21,17,20150228,0,1
"126",26,"22",20,13,"CoCo","O.T. GENASIS",41979,77,20,14,20150228,0,1
"127",27,"21",7,19,"Love Me Harder","ARIANA GRANDE & THE WEEKND",41937,79,7,20,20150228,0,1
"128",28,"31",28,11,"G.D.F.R.","FLO RIDA featuring SAGE THE GEMINI & LOOKAS",41993,97,28,12,20150228,0,1
"129",29,"30",29,11,"Prayer In C","LILLYWOOD & ROBIN SCHULZ",41993,87,23,12,20150228,0,1
"130",30,"27",16,21,"No Type","RAE SREMMURD",41923,77,16,22,20150228,0,3
"131",31,"28",3,26,"Animals","MAROON 5",41888,86,3,27,20150228,0,15
"132",32,"33",30,34,"Riptide","VANCE JOY",41832,92,30,35,20150228,0,1
"133",33,"36",33,6,"Ayo","CHRIS BROWN & TYGA",42028,40,32,7,20150228,0,1
"134",34,"24",6,15,"The Heart Wants What It Wants","SELENA GOMEZ",41965,25,6,16,20150228,0,9
"135",35,"39",17,6,"Elastic Heart","SIA",42028,17,17,7,20150228,0,20
"136",36,"42",36,7,"Take Your Time","SAM HUNT",42021,93,36,8,20150228,0,2
"137",37,"59",37,4,"Somebody","NATALIE LA ROSE featuring JEREMIH",42042,94,27,5,20150228,0,1
"138",38,"43",9,36,"Don't","ED SHEERAN",41818,46,9,36,20150228,0,11
"139",39,"38",3,29,"Bang Bang","JESSIE J, ARIANA GRANDE & NICKI MINAJ",41867,6,3,30,20150228,0,1
"140",40,"37",12,21,"Tuesday","I LOVE MAKONNEN featuring DRAKE",41923,90,12,22,20150228,0,1
"141",41,"60",41,4,"Trap Queen","FETTY WAP",42042,86,35,5,20150228,0,1
"142",42,"47",42,7,"Outside","CALVIN HARRIS featuring ELLIE GOULDING",42021,90,42,8,20150228,0,2
"143",43,"49",43,14,"Make Me Wanna","THOMAS RHETT",41972,99,43,15,20150228,0,5
"144",44,"34",34,5,"Heartbeat Song","KELLY CLARKSON",42035,37,34,6,20150228,0,13
"145",45,"69",45,3,"Only One","KANYE WEST featuring PAUL McCARTNEY",42049,68,45,4,20150228,0,1
"146",46,"44",41,12,"I See You","LUKE BRYAN",41986,89,41,13,20150228,0,16
"147",47,"41",3,38,"Habits (Stay High)","TOVE LO",41804,66,3,39,20150228,0,3
"148",48,"48",44,16,"Sun Daze","FLORIDA GEORGIA LINE",41958,95,44,17,20150228,0,11
"149",49,"101",49,1,"Energy","DRAKE",42063,49,26,2,20150228,0,82
"150",50,"50",31,13,"Night Changes","ONE DIRECTION",41979,55,31,14,20150228,0,19
"151",51,"51",48,11,"Lonely Tonight","BLAKE SHELTON featuring ASHLEY MONROE",41993,95,47,12,20150228,0,1
"152",52,"45",43,8,"Stuck On A Feeling","PRINCE ROYCE featuring SNOOP DOGG",42014,93,43,9,20150228,0,1
"153",53,"54",53,2,"Blessings","BIG SEAN featuring DRAKE",42056,54,53,3,20150228,0,1
"154",54,"63",54,13,"I Bet My Life","IMAGINE DRAGONS",41979,72,28,14,20150228,0,7
"155",55,"55",32,12,"I Lived","ONEREPUBLIC",41986,71,32,13,20150228,0,8
"156",56,"76",56,3,"Chains","NICK JONAS",42049,92,42,4,20150228,0,4
"157",57,"66",57,12,"Shut Up And Dance","WALK THE MOON",41986,88,48,13,20150228,0,2
"158",58,"75",58,2,"Lay Me Down","SAM SMITH",42056,75,58,3,20150228,0,7
"159",59,"58",58,9,"Apparently","J. COLE",42007,90,58,10,20150228,0,10
"160",60,"61",43,9,"Feeling Myself","NICKI MINAJ featuring BEYONCE",42007,43,43,10,20150228,0,1
"161",61,"67",59,18,"Often","THE WEEKND",41944,97,59,19,20150228,0,6
"162",62,"56",31,20,"Heroes (We Could Be)","ALESSO featuring TOVE LO",41930,89,31,20,20150228,0,1
"163",63,"65",63,15,"Mean To Me","BRETT ELDREDGE",41965,95,57,16,20150228,0,3
"164",64,"62",59,11,"Just Gettin' Started","JASON ALDEAN",41993,94,59,12,20150228,0,18
"165",65,"64",60,18,"Drinking Class","LEE BRICE",41944,99,60,19,20150228,0,7
"166",66,"68",62,11,"Like A Cowboy","RANDY HOUSER",41993,98,62,12,20150228,0,4
"167",67,"70",67,7,"Ain't Worth The Whiskey","COLE SWINDELL",42021,99,59,8,20150228,0,3
"168",68,"57",43,17,"Talladega","ERIC CHURCH",41951,90,43,18,20150228,0,13
