Date,Open,High,Low,Close,Volume,Adj Close
7/5/10,20,20,14.98,17.4,6387600,17.4
7/12/10,17.950001,21.5,16.9,20.639999,3087700,20.639999
7/19/10,21.370001,22.25,19.5,21.290001,1435100,21.290001
7/26/10,21.5,21.5,19.549999,19.940001,610400,19.940001
8/2/10,20.5,22.18,19.52,19.59,879900,19.59
8/9/10,19.9,19.98,17.389999,18.32,843300,18.32
8/16/10,18.450001,19.59,18.26,19.1,482000,19.1
8/23/10,19.09,20.389999,18.559999,19.700001,615500,19.700001
8/30/10,19.700001,21.299999,19.33,21.049999,470100,21.049999
9/7/10,20.610001,21.049999,19.76,20.17,323600,20.17
9/13/10,20.889999,23.16,19.799999,20.23,1116600,20.23
9/20/10,20.67,21.549999,19.5,20.1,790600,20.1
9/27/10,20.4,22.15,20.049999,20.6,1279100,20.6
10/4/10,20.43,21.280001,20.299999,20.43,339500,20.43
10/11/10,20.440001,21.030001,20.030001,20.540001,262500,20.540001
10/18/10,20.52,20.950001,20,20.719999,259700,20.719999
10/25/10,20.940001,21.870001,20.51,21.84,328100,21.84
11/1/10,21.940001,25.33,21.049999,24.440001,807100,24.440001
11/8/10,24.5,30.5,24.030001,29.84,1840100,29.84
11/15/10,30.219999,32.939999,28.42,30.99,1365400,30.99
11/22/10,31.57,36,31.5,35.32,1220700,35.32
11/29/10,35.41,36.419998,30.870001,31.49,1566900,31.49
12/6/10,31.35,32.919998,29.559999,31.52,816200,31.52
12/13/10,31.639999,31.77,27.76,31.360001,904400,31.360001
12/20/10,31.639999,32.860001,29.92,30.09,921700,30.09
12/27/10,28.02,28.58,25,26.629999,4027200,26.629999
1/3/11,26.84,28.58,25.9,28.24,1645200,28.24
1/10/11,28.17,28.709999,25.610001,25.75,1186500,25.75
1/18/11,25.48,25.639999,22.370001,23.040001,1872500,23.040001
1/24/11,23.530001,25.08,23.23,24.01,1188100,24.01
1/31/11,24.049999,24.73,23.15,23.459999,632700,23.459999
2/7/11,23.26,25.25,22.790001,23.25,1701200,23.25
2/14/11,23.639999,25.49,22.559999,23.18,2268200,23.18
2/22/11,22.879999,23.85,21.110001,23.610001,1517900,23.610001
2/28/11,23.74,24.99,23.5,24.950001,1008200,24.950001
3/7/11,24.93,25.4,23.530001,24.07,1261200,24.07
3/14/11,23.82,24,21.799999,22.959999,1053000,22.959999
3/21/11,23.049999,23.049999,21.77,22.75,489500,22.75
3/28/11,22.700001,28.709999,22.549999,26.66,3483800,26.66
4/4/11,26.83,27.940001,25.23,26.49,2367000,26.49
4/11/11,26.469999,26.530001,24.200001,25.58,1173000,25.58
4/18/11,25.129999,26.98,24.360001,26.74,951400,26.74
4/25/11,26.700001,27.870001,25.969999,27.6,1104700,27.6
5/2/11,27.6,27.799999,25.75,27.120001,988600,27.120001
5/9/11,27,28.950001,26.65,27.549999,940700,27.549999
5/16/11,27.99,28.440001,25.52,27.969999,1243400,27.969999
5/23/11,27.620001,29.76,26.17,29.549999,2238800,29.549999
5/31/11,29.690001,31.5,28.379999,30.129999,3003900,30.129999
6/6/11,30.1,30.129999,27.02,27.860001,1683700,27.860001
6/13/11,28.07,29.700001,25.74,26.5,1637600,26.5
6/20/11,26.290001,28.25,25.5,27.57,1857500,27.57
6/27/11,27.73,29.6,27.309999,29.02,1192400,29.02
7/5/11,29.02,30,28.549999,28.809999,1122800,28.809999
7/11/11,28.4,29.09,27.25,27.58,991000,27.58
7/18/11,27.34,30.440001,26.629999,29.290001,1304200,29.290001
7/25/11,29.01,29.25,27.5,28.17,855800,28.17
8/1/11,28.67,29.200001,22.83,24.24,1907500,24.24
8/8/11,23.1,27.139999,23.1,26.309999,1470300,26.309999
8/15/11,26.620001,26.75,22,22.299999,870300,22.299999
8/22/11,23.110001,23.950001,21.5,23.73,796200,23.73
8/29/11,24.219999,25.5,22.68,23.07,722200,23.07
9/6/11,22.5,24.030001,22.290001,22.969999,611000,22.969999
9/12/11,22.5,25.84,22.450001,25.799999,820700,25.799999
9/19/11,24.950001,26.950001,23.82,26.379999,1051500,26.379999
9/26/11,26.52,26.99,23.49,24.389999,919600,24.389999
10/3/11,24.950001,27.6,22.93,26.99,1306700,26.99
10/10/11,27.309999,28.549999,27,28.049999,1013300,28.049999
10/17/11,27.860001,28.43,26.709999,28.030001,937800,28.030001
10/24/11,27.870001,30,27.4,29.870001,847700,29.870001
10/31/11,29.5,32.490002,28,32.310001,1637400,32.310001
11/7/11,31.639999,34.5,30.299999,33.639999,1600700,33.639999
11/14/11,33,35,32.540001,32.599998,1260400,32.599998
11/21/11,32.439999,32.790001,31.049999,31.66,613900,31.66
11/28/11,32,33.990002,31.629999,33.299999,773100,33.299999
12/5/11,33.529999,35,29.610001,31.040001,1466300,31.040001
12/12/11,30.440001,30.93,27.98,28,929300,28
12/19/11,28.09,28.5,26.030001,27.9,1027300,27.9
12/27/11,27.66,29.34,27.639999,28.559999,545100,28.559999
1/3/12,28.940001,29.5,26.41,26.91,887500,26.91
1/9/12,27,28.620001,22.639999,22.790001,1694100,22.790001
1/17/12,26.620001,27.74,26.25,26.6,1955100,26.6
1/23/12,26.809999,29.719999,26.440001,29.33,816600,29.33
1/30/12,29.49,31.33,28.530001,31.15,755700,31.15
2/6/12,31.1,32.900002,29.84,31.1,1089700,31.1
2/13/12,31.549999,34.970001,30.9,34.970001,1865300,34.970001
2/21/12,34.869999,34.970001,32.5,33.75,1142600,33.75
2/27/12,33.41,34.5,33,34.040001,601400,34.040001
3/5/12,34.349998,35.310001,32.619999,34.740002,718400,34.740002
3/12/12,34.689999,36.59,34.599998,35.32,1023400,35.32
